stage,decoded_tokens,cache_memory_mb,gpu_allocated_mb,gpu_peak_allocated_mb
prefill,0,0.375,103.60302734375,103.6728515625
decode,1,0.3984375,103.34130859375,103.6728515625
decode,2,0.421875,103.36474609375,103.6728515625
decode,3,0.4453125,103.38818359375,103.6728515625
decode,4,0.46875,103.41162109375,103.6728515625
decode,5,0.4921875,103.43505859375,103.6728515625
decode,6,0.515625,103.45849609375,103.6728515625
decode,7,0.5390625,103.48193359375,103.6728515625
decode,8,0.5625,103.50537109375,103.6728515625
decode,9,0.5859375,103.52880859375,103.6728515625
decode,10,0.609375,103.55224609375,103.6728515625
decode,11,0.6328125,103.57568359375,103.6728515625
decode,12,0.65625,103.59912109375,103.6728515625
decode,13,0.6796875,103.62255859375,103.6875
decode,14,0.703125,103.64599609375,103.712890625
decode,15,0.7265625,103.66943359375,103.73828125
decode,16,0.75,103.69287109375,103.763671875
decode,17,0.7734375,103.71630859375,103.7890625
decode,18,0.796875,103.73974609375,103.814453125
decode,19,0.8203125,103.76318359375,103.83984375
decode,20,0.84375,103.78662109375,103.865234375
decode,21,0.8671875,103.81005859375,103.890625
decode,22,0.890625,103.83349609375,103.916015625
decode,23,0.9140625,103.85693359375,103.94140625
decode,24,0.9375,103.88037109375,103.966796875
decode,25,0.9609375,103.90380859375,103.9921875
decode,26,0.984375,103.92724609375,104.017578125
decode,27,1.0078125,103.95068359375,104.04296875
decode,28,1.03125,103.97412109375,104.068359375
decode,29,1.0546875,103.99755859375,104.09375
decode,30,1.078125,104.02099609375,104.119140625
decode,31,1.1015625,104.04443359375,104.14453125
decode,32,1.125,104.06787109375,104.169921875
decode,33,1.1484375,104.09130859375,104.1953125
decode,34,1.171875,104.11474609375,104.220703125
decode,35,1.1953125,104.13818359375,104.24609375
decode,36,1.21875,104.16162109375,104.271484375
decode,37,1.2421875,104.18505859375,104.296875
decode,38,1.265625,104.20849609375,104.322265625
decode,39,1.2890625,104.23193359375,104.34765625
decode,40,1.3125,104.25537109375,104.373046875
decode,41,1.3359375,104.27880859375,104.3984375
decode,42,1.359375,104.30224609375,104.423828125
decode,43,1.3828125,104.32568359375,104.44921875
decode,44,1.40625,104.34912109375,104.474609375
decode,45,1.4296875,104.37255859375,104.5
decode,46,1.453125,104.39599609375,104.525390625
decode,47,1.4765625,104.41943359375,104.55078125
decode,48,1.5,104.44287109375,104.576171875
decode,49,1.5234375,104.46630859375,104.6015625
decode,50,1.546875,104.48974609375,104.626953125
decode,51,1.5703125,104.51318359375,104.65234375
decode,52,1.59375,104.53662109375,104.677734375
decode,53,1.6171875,104.56005859375,104.703125
decode,54,1.640625,104.58349609375,104.728515625
decode,55,1.6640625,104.60693359375,104.75390625
decode,56,1.6875,104.63037109375,104.779296875
decode,57,1.7109375,104.65380859375,104.8046875
decode,58,1.734375,104.67724609375,104.830078125
decode,59,1.7578125,104.70068359375,104.85546875
decode,60,1.78125,104.72412109375,104.880859375
decode,61,1.8046875,104.74755859375,104.90625
decode,62,1.828125,104.77099609375,104.931640625
decode,63,1.8515625,104.79443359375,104.95703125
